sample_id,F_wind_kN,w_snow_kNm,E_Pa
0,4.049690188283043,1.93356024041588,201341221403.9657
1,4.1209966756260386,1.961131847531584,205233856122.89633
2,5.527003960833317,2.4741883891264504,198773696499.63516
3,5.980761158363191,2.222476894951629,191828194094.29523
4,5.8474391297262995,1.5193022333893214,195621150967.3634
5,4.3693409111144295,1.7392120953306278,198786716868.44318
6,5.027848008009946,1.6832845554875226,205655403216.17517
7,2.3778317824139763,2.5765180836458645,204103431835.44043
8,4.7755178205855895,1.7483430418139827,193313730104.3928
9,5.311825474851196,2.5715640178443793,197562712383.13333
10,6.299100191982628,2.311828745167985,189034498425.22763
11,3.1620510263183847,2.4188293807140835,199170945207.7856
12,4.7289184955829535,2.146967555304988,194196178601.09525
13,2.1162836386432535,3.3531595069218225,205817533252.33337
14,4.615190805752006,2.8026385046016844,198275345018.8011
15,3.678370551817842,2.578788391790457,190726659914.47763
16,6.823257402501291,2.709408457313635,194938907761.57462
17,4.7511860359579625,2.747615355495051,196669519302.12582
18,2.975912798872478,1.815450700784422,192003197073.67557
19,3.865655257834391,1.9276163211791633,198509395654.10367
20,4.63979915244899,2.407947364825208,199078631680.37247
21,5.8920743984988,2.117471166309864,198737865660.91757
22,3.7700147569846703,2.2709862735421438,194005768848.32587
23,3.657201681963253,3.750551735208453,205790900128.6305
24,2.218779601873804,2.899001487511203,200034542695.12183
25,4.7957680177752735,2.5799493757540333,208061319054.56888
26,6.376683885514953,2.0729662038954206,193413332916.57736
27,2.8394946778010395,1.1960541308191566,196048145142.83148
28,4.054332810526881,1.9208498776601186,188714872741.94617
29,4.07134909368872,1.9968872726389426,210194713336.04218
30,5.562352992551267,1.9774144977779677,198394190189.31522
31,2.9423754882963147,2.9198637355164525,201439287141.43726
32,3.135617490448457,1.8932618978934135,202513045137.27048
33,4.806311214735728,2.4914647986272422,201430038810.29126
34,3.018094439759445,2.0873879793203862,194022049219.2989
35,2.703947993413274,1.284935362758075,207430696256.1308
36,4.584358053738174,2.0454682892994143,199623961529.22034
37,3.8243605915478245,2.1915312154577293,199519191875.0247
38,5.622681516556785,2.8510876003783183,206634757839.73328
39,5.532090662754632,2.192394585092188,199535744557.64688
40,5.778199957321379,3.1990114233539853,222423954968.05093
41,3.7524628276914207,1.7508441895666187,207339572447.25314
42,6.117077671865101,2.5567118144636343,215591192217.84695
43,5.437522686929439,1.430101768168761,196673232916.03317
44,3.257550260121085,2.6736697484615313,206624442273.5842
45,2.388215014726107,2.6307139601873866,195133606777.51892
46,3.335798447454036,2.783429459880692,206773433189.75946
47,7.921812498697036,1.8171434758824316,193926882587.6339
48,4.919541450466546,2.680964468134987,199555197248.87546
49,4.045159155652342,2.527945086170485,184486477162.35483
50,3.4593157747670884,2.0871021220908106,210311863124.69327
51,6.708212665856011,2.4162949032412597,195983710237.9279
52,3.9648844524341937,1.3704475715637583,202131100852.51425
53,4.206747815591591,1.7796094561561522,207618880405.7754
54,1.834478920066621,3.143507292715305,197761078095.35178
55,4.032752389809952,3.4619889894645244,201115699058.72733
56,7.722278677533128,3.6408263341152085,196001770470.56717
57,6.195610967566028,2.911662072865137,198674412922.63065
58,6.400776804300952,3.7666204849307614,184273289236.64008
59,4.73124764335229,1.3897539992750134,189519659924.4945
60,2.7517483779997804,2.0532571013220373,197344418489.69943
61,5.023585626121417,1.9546588823095081,197137320528.63226
62,7.281318524149714,2.043256756922975,202652394382.41156
63,4.268309175443895,2.006172584282046,199779524580.11856
64,2.1244149406131294,2.1663804173881713,201044737536.5778
65,3.829680608761163,1.6323047950399479,200522725802.57486
66,3.5909485667949985,2.350310733701248,194084484521.04648
67,4.020918109555055,3.912067492918206,197767595300.42975
68,3.70347274007293,1.837325203423087,203603137511.79877
69,5.15633888440187,1.3385951085941088,201844931279.3597
